"title","genre","nation","time","date","grade","director","star","aud_score","cri_score","net_score","SF","가족","공연실황","공포","느와르","다큐멘터리","드라마","멜로.로맨스","모험","무협","뮤지컬","미스터리","범죄","블랙코미디","서부","서사","서스펜스","스릴러","애니메이션","액션","에로","전쟁","코미디","판타지"
"기술자들","['범죄', '액션']","한국",116,"2014.12.24","15세 관람가","김홍선","['김우빈', '김영철', '고창석']",7.91,4.75,7.14,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"카라멜","['멜로/로맨스', '드라마']","프랑스",96,"2008.09.04","12세 관람가","나딘 라바키","['나딘 라바키', '야스민 알마스리']",NA,8.13,NA,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"네버 렛 미 고","['드라마', '멜로/로맨스']","영국",103,"2011.04.07","15세 관람가","마크 로마넥","['캐리 멀리건', '앤드류 가필드', '키이라 나이틀리']",NA,6.36,7.49,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"가디언의 전설","['애니메이션', '모험', '판타지']","미국",96,"2010.10.28","전체 관람가","잭 스나이더","['휴고 위빙', '짐 스터게스', '라이언 콴튼']",NA,6.5,8.09,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"새미의 어드벤쳐","['애니메이션', '모험']","미국",85,"2010.12.15","전체 관람가","벤 스타센","['멜라니 그리피스', '이사벨 퍼만', '유리 로웬탈']",NA,6,8.98,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"다크 나이트 라이즈","['액션', '범죄', '스릴러']","미국",164,"2012.07.19","15세 관람가","크리스토퍼 놀란","['크리스찬 베일', '마이클 케인', '게리 올드만']",NA,7.69,9.01,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0"
"특전 유보트","['드라마', '전쟁']","독일(구 서독)",210,"1982.05.15","15세 관람가","볼프강 페터젠","['주겐 프로크노', '클라우스 웨네먼', '허버트 그로네메이어']",NA,9.23,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"바람의 검심 : 교토 대화재편","['액션', '모험']","일본",139,"2015.02.26","15세 관람가","오오토모 케이시","['사토 타케루', '타케이 에미', '이세야 유스케']",9.44,5.5,8.18,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"디어리스트","['드라마']","홍콩",135,"2016.09.08","12세 관람가","진가신","['자오웨이', '황보', '통따웨이']",NA,9.08,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"사랑한다 사랑하지 않는다","['멜로/로맨스']","한국",105,"2011.03.03","15세 관람가","이윤기","['임수정', '현빈']",NA,5.63,5.65,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"뷰티풀 라이","['드라마']","미국",110,"2015.03.26","12세 관람가","필리프 팔라도","['리즈 위더스푼', '아놀드 오셍', '게르 두아니']",9.56,5.5,9.03,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"제3의 사나이","['드라마', '스릴러']","영국",93,"1954.03.09","15세 관람가","캐럴 리드","['조셉 거튼', '알리다 발리', '오손 웰즈']",NA,9,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"티끌모아 로맨스","['멜로/로맨스', '코미디']","한국",114,"2011.11.10","15세 관람가","김정환","['한예슬', '송중기']",NA,6.14,7.49,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"댄싱퀸","['코미디', '드라마']","한국",124,"2012.01.18","12세 관람가","이석훈","['황정민', '엄정화']",NA,6,8.88,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"여친남친","['멜로/로맨스']","대만",105,"2013.02.07","청소년 관람불가","양야체","['계륜미', '장효전', '봉소악']",NA,7.06,7.54,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강철중: 공공의 적 1-1","['범죄', '스릴러', '코미디', '드라마', '액션']","한국",127,"2008.06.19","15세 관람가","강우석","['설경구', '정재영']",NA,5.25,8.53,"0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0"
